	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000130762	25	41	39	6	30	15
ENSG00000162591	99	214	191	91	245	227
ENSG00000238260	45	15	12	51	25	27
ENSG00000158109	572	490	513	585	544	549
ENSG00000116213	1497	1473	1594	1016	1194	1203
ENSG00000078900	6	10	11	8	6	2
ENSG00000227589	0	0	1	0	5	0
ENSG00000235131	3	2	2	0	0	1
ENSG00000227372	557	658	537	433	586	651
ENSG00000162592	2	2	1	1	0	3
ENSG00000235169	5	8	9	4	11	9
ENSG00000130764	2213	2184	2066	1457	1733	1703
ENSG00000266075	0	0	2	2	0	2
ENSG00000272153	35	29	38	25	27	41
ENSG00000116198	2058	2405	1744	1859	2538	2786
ENSG00000169598	502	501	438	498	592	653
ENSG00000198912	790	1117	1178	630	993	981
ENSG00000236423	6	26	24	7	40	41
ENSG00000233304	0	1	1	0	1	1
ENSG00000226374	0	1	0	0	1	0
ENSG00000235054	5	1	0	1	0	0
ENSG00000236948	0	0	0	0	2	0
ENSG00000264101	0	0	1	0	0	0
ENSG00000131697	1608	1747	1460	1204	1574	1704
ENSG00000069424	13307	14133	13563	9654	12457	12622
ENSG00000116254	23	50	27	14	63	60
ENSG00000116251	5585	7449	7323	4306	5110	3887
ENSG00000226944	0	1	0	0	0	0
ENSG00000158286	9	11	12	5	8	7
ENSG00000116237	4735	4330	3652	3180	3953	3912
ENSG00000225077	102	142	113	122	193	164
ENSG00000173673	0	0	0	1	0	0
ENSG00000158292	892	1264	1102	757	1250	1230
ENSG00000097021	4451	4109	4419	3107	3530	3117
ENSG00000069812	13	31	27	38	111	108
ENSG00000187017	66	41	43	81	46	39
ENSG00000231868	1	0	2	0	0	1
ENSG00000215788	47	62	52	58	84	105
ENSG00000171680	224	297	206	283	525	557
ENSG00000162408	1567	1206	994	1466	1458	1795
ENSG00000253022	0	1	2	0	0	1
