	entrezgene	ensembl_gene_id	gene_name	filter	baseMean	log2FoldChange_condition_treat_day6_on_vs_day6_off	lfcSE_condition_treat_day6_on_vs_day6_off	stat_condition_treat_day6_on_vs_day6_off	pvalue_condition_treat_day6_on_vs_day6_off	padj_condition_treat_day6_on_vs_day6_off	filter1	external_gene_name	pathway_id
5552	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04611
5553	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04750
5554	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu05168
5555	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04114
5556	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04390
5557	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04022
5558	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04510
5559	19045	ENSMUSG00000040385	Ppp1ca	1	6261.7908872652	-0.321949482177031	0.0733839806653913	-4.38719021859858	1.14824363712078e-05	6.33520513046599e-05	DE	Ppp1ca	mmu04810
5560	19049	ENSMUSG00000061718	Ppp1r1b	1	1398.16082183192	-2.16848482199774	0.0899892801465721	-24.0971459985652	2.67799856981583e-128	1.19803241574677e-125	DE	Ppp1r1b	mmu04728
5561	19049	ENSMUSG00000061718	Ppp1r1b	1	1398.16082183192	-2.16848482199774	0.0899892801465721	-24.0971459985652	2.67799856981583e-128	1.19803241574677e-125	DE	Ppp1r1b	mmu05031
5562	19049	ENSMUSG00000061718	Ppp1r1b	1	1398.16082183192	-2.16848482199774	0.0899892801465721	-24.0971459985652	2.67799856981583e-128	1.19803241574677e-125	DE	Ppp1r1b	mmu05034
